Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,559.5,572.2,553.0,567.0,308427.742,2024-09-19 23:59:59.999,173555626.41650000,558489,159138.29000000,89525211.65460000,0
2024-09-20,566.9,577.1,555.0,569.0,257077.709,2024-09-20 23:59:59.999,146299260.29600000,568811,128566.99400000,73190922.82870000,0
2024-09-21,569.1,590.0,566.4,588.6,208752.23,2024-09-21 23:59:59.999,121144029.98500000,399532,117387.89300000,68095101.49920000,0
2024-09-22,588.7,594.6,576.4,588.7,202978.791,2024-09-22 23:59:59.999,118527723.48240000,418231,106161.36800000,62017516.57210000,0
2024-09-23,588.7,616.0,583.4,604.5,376010.207,2024-09-23 23:59:59.999,225838917.18620000,659028,207878.54600000,124862780.75770000,0
2024-09-24,604.5,613.4,598.5,605.9,261622.131,2024-09-24 23:59:59.999,158406716.97440000,565904,128330.00300000,77746137.64570000,0
2024-09-25,605.8,608.3,584.2,587.4,220793.948,2024-09-25 23:59:59.999,131577137.98820000,447562,103334.17200000,61610721.07740000,0
2024-09-26,587.5,609.0,580.8,596.3,334337.474,2024-09-26 23:59:59.999,199000531.35560000,646729,164202.41900000,97755734.67610000,0
2024-09-27,596.3,614.7,596.0,606.8,356901.64,2024-09-27 23:59:59.999,216600653.36910000,639779,183915.11900000,111611796.73230000,0
2024-09-28,606.9,618.6,594.5,601.1,262593.381,2024-09-28 23:59:59.999,159074265.46120000,469042,126538.93000000,76720055.72310000,0
2024-09-29,601.1,602.8,592.4,595.6,160103.084,2024-09-29 23:59:59.999,95653191.06340000,328313,80456.12000000,48073936.19640000,0
2024-09-30,595.6,595.8,563.5,567.4,324086.737,2024-09-30 23:59:59.999,187098291.11320000,704335,161689.32100000,93395442.38850000,0
2024-10-01,567.4,583.1,536.8,547.3,476372.945,2024-10-01 23:59:59.999,266084992.26320000,1024113,226523.52800000,126778022.92450000,0
2024-10-02,547.2,558.3,535.4,542.5,282193.663,2024-10-02 23:59:59.999,154229595.05610000,567076,138035.90200000,75550263.68990000,0
2024-10-03,542.5,550.8,534.3,544.8,220702.342,2024-10-03 23:59:59.999,119668355.74840000,609573,108719.14500000,58982532.72940000,0
2024-10-04,544.8,557.8,541.8,555.3,186169.628,2024-10-04 23:59:59.999,102741705.88210000,484523,102959.10900000,56839978.94690000,0
2024-10-05,555.3,565.2,551.6,563.0,124906.382,2024-10-05 23:59:59.999,70050933.41910000,328254,60761.26600000,34078593.00210000,0
2024-10-06,563.0,571.9,561.1,570.3,106787.34,2024-10-06 23:59:59.999,60348493.10960000,289826,55204.84600000,31211053.10980000,0
2024-10-07,570.4,581.8,563.5,564.3,213046.676,2024-10-07 23:59:59.999,122157732.78520000,603464,105010.10500000,60250453.02340000,0
2024-10-08,564.4,586.8,559.5,580.8,286276.177,2024-10-08 23:59:59.999,164556094.65750000,687832,145094.70600000,83413211.81470000,0
2024-10-09,580.8,586.0,566.2,570.7,324396.054,2024-10-09 23:59:59.999,187764600.04060000,706841,154596.09500000,89492357.72990000,0
2024-10-10,570.8,572.9,551.5,563.9,178198.309,2024-10-10 23:59:59.999,100625398.37540000,627366,83662.16400000,47242329.77080000,0
2024-10-11,563.8,577.5,560.1,573.6,185095.358,2024-10-11 23:59:59.999,105075683.88370000,494403,93541.93000000,53121267.58700000,0
2024-10-12,573.7,579.2,573.6,576.6,135773.959,2024-10-12 23:59:59.999,78315432.78740000,350037,69184.05100000,39905229.82230000,0
2024-10-13,576.6,578.5,564.9,572.2,118779.976,2024-10-13 23:59:59.999,67955148.44160000,349095,55469.55900000,31738308.19180000,0
2024-10-14,572.3,592.3,558.9,589.1,252803.176,2024-10-14 23:59:59.999,147353933.53770000,622130,130768.05500000,76269272.01600000,0
2024-10-15,589.0,599.9,577.7,594.5,324305.897,2024-10-15 23:59:59.999,191193163.47130000,935703,163870.92600000,96649890.77330000,0
2024-10-16,594.6,605.5,589.7,600.9,259951.129,2024-10-16 23:59:59.999,155177541.69390000,732070,140185.65200000,83719054.95340000,0
2024-10-17,601.0,606.3,585.1,592.9,194199.416,2024-10-17 23:59:59.999,115638450.58710000,574860,93570.26500000,55747742.55720000,0
2024-10-18,592.9,602.4,591.8,599.2,136743.669,2024-10-18 23:59:59.999,81756722.03320000,421335,70549.63000000,42179490.17900000,0
2024-10-19,599.3,601.4,595.4,597.7,78940.239,2024-10-19 23:59:59.999,47206621.57690000,208927,39529.22500000,23642332.86710000,0
2024-10-20,597.8,607.3,593.1,605.9,123572.057,2024-10-20 23:59:59.999,74016985.85700000,306415,66012.89400000,39554372.68990000,0
2024-10-21,605.9,611.8,591.5,598.8,275880.778,2024-10-21 23:59:59.999,166472429.79900000,627019,142994.75000000,86318025.85850000,0
2024-10-22,598.8,609.0,587.0,593.8,203756.934,2024-10-22 23:59:59.999,121183814.78580000,418879,101024.42000000,60105547.32110000,0
2024-10-23,593.8,595.0,573.0,584.9,225698.465,2024-10-23 23:59:59.999,131627008.02640000,572617,102668.32100000,59858983.54290000,0
2024-10-24,584.9,598.0,583.3,594.5,145781.537,2024-10-24 23:59:59.999,86192860.02540000,463329,75688.05300000,44752330.67080000,0
2024-10-25,594.5,597.6,565.8,575.3,254214.693,2024-10-25 23:59:59.999,148562012.60020000,783030,123137.12900000,71922679.15200000,0
2024-10-26,575.3,587.1,571.6,583.4,119987.437,2024-10-26 23:59:59.999,69636988.27440000,422862,63340.99600000,36756986.01520000,0
2024-10-27,583.4,591.0,581.7,589.2,94455.099,2024-10-27 23:59:59.999,55358950.43060000,270337,49282.81100000,28883808.91920000,0
2024-10-28,589.3,604.6,585.5,601.1,189815.882,2024-10-28 23:59:59.999,112841110.98410000,592169,99008.20800000,58878740.22810000,0
2024-10-29,601.1,612.2,599.9,606.3,301555.357,2024-10-29 23:59:59.999,183028445.44590000,684113,152630.66800000,92661284.69180000,0
2024-10-30,606.3,606.7,594.1,595.6,186706.281,2024-10-30 23:59:59.999,111921261.72470000,532438,84981.26100000,50946899.79610000,0
2024-10-31,595.5,596.5,571.1,576.6,279156.175,2024-10-31 23:59:59.999,162569407.17430000,570966,129369.02600000,75304570.02170000,0
2024-11-01,576.5,585.5,567.7,573.1,242255.184,2024-11-01 23:59:59.999,139653646.53760000,699407,113435.93300000,65396861.97030000,0
2024-11-02,573.1,577.2,562.4,568.6,143716.603,2024-11-02 23:59:59.999,81923716.47340000,368434,66975.21900000,38194128.53690000,0
2024-11-03,568.6,569.3,547.0,557.7,217508.468,2024-11-03 23:59:59.999,121252911.93940000,701156,91016.78800000,50727921.69290000,0
2024-11-04,557.7,564.8,543.6,552.5,264951.833,2024-11-04 23:59:59.999,147460854.17364000,773496,122080.26400000,67955779.67501000,0
2024-11-05,552.51,572.8,551.22,563.21,211437.753,2024-11-05 23:59:59.999,118914324.13832000,803821,106907.21200000,60146719.16516000,0
2024-11-06,563.21,595.0,563.0,592.22,535934.927,2024-11-06 23:59:59.999,312142762.64576000,1406733,267207.46900000,155681528.97180000,0
2024-11-07,592.22,611.2,587.01,598.26,377600.506,2024-11-07 23:59:59.999,226127478.91521000,957275,187894.31400000,112588476.23204000,0
2024-11-08,598.27,605.9,588.1,597.82,318752.718,2024-11-08 23:59:59.999,190252650.44896000,840005,150398.01200000,89805835.67393000,0
2024-11-09,597.82,638.0,597.51,624.66,772172.655,2024-11-09 23:59:59.999,481873005.65544000,1360388,393130.43300000,245155471.87992000,0
2024-11-10,624.67,644.2,611.62,627.33,812783.747,2024-11-10 23:59:59.999,513661217.73232000,1433530,405539.87100000,256363759.66709000,0
2024-11-11,627.34,665.54,613.0,659.63,1006384.738,2024-11-11 23:59:59.999,635276133.39284000,1851229,505902.41100000,319874186.99025000,0
2024-11-12,659.63,667.4,610.0,625.33,1166459.013,2024-11-12 23:59:59.999,743633998.73705000,2169201,542848.44000000,346378141.73403000,0
2024-11-13,625.42,638.06,598.6,620.68,1034672.114,2024-11-13 23:59:59.999,638914920.75909000,1679578,480284.30000000,296893774.81949000,0
2024-11-14,620.68,660.4,610.5,622.3,1060649.7,2024-11-14 23:59:59.999,673257806.86197000,2073886,519531.97900000,329976993.20338000,0
2024-11-15,622.3,628.3,603.4,619.37,654908.221,2024-11-15 23:59:59.999,403836027.70154000,1675202,324324.27000000,200060279.65834000,0
2024-11-16,619.37,633.7,617.5,622.69,447887.923,2024-11-16 23:59:59.999,279947693.94271000,1380269,221546.11400000,138498321.05379000,0
2024-11-17,622.69,647.6,605.2,618.9,595820.376,2024-11-17 23:59:59.999,373035601.88046000,1620884,288897.06300000,180940155.29964000,0
2024-11-18,618.93,630.91,612.1,618.93,483382.136,2024-11-18 23:59:59.999,300412598.77804000,1390991,234583.25000000,145827909.52436000,0
2024-11-19,618.93,621.41,605.21,615.5,420441.21,2024-11-19 23:59:59.999,258923024.56484000,1223765,186002.96500000,114554397.07854000,0
2024-11-20,615.49,620.78,600.0,605.39,411142.628,2024-11-20 23:59:59.999,251205966.08475000,1233524,187375.33200000,114598586.84172000,0
2024-11-21,605.39,629.37,593.05,621.86,647295.158,2024-11-21 23:59:59.999,397863790.46244000,1655881,320718.29900000,197260778.45904000,0
2024-11-22,621.86,639.64,615.05,633.0,582665.923,2024-11-22 23:59:59.999,366036815.39355000,1632171,285301.91700000,179275565.00500000,0
2024-11-23,633.0,680.0,631.1,650.42,1071184.972,2024-11-23 23:59:59.999,704006630.96840000,2402894,545730.22600000,358584310.38748000,0
2024-11-24,650.42,687.75,637.08,659.65,914571.368,2024-11-24 23:59:59.999,603815106.11156000,1960144,456675.81000000,301687205.83291000,0
2024-11-25,659.65,676.79,626.43,636.2,783511.29,2024-11-25 23:59:59.999,511818189.88482000,1737341,359913.34400000,235289862.43321000,0
2024-11-26,636.16,645.57,600.02,613.51,814621.938,2024-11-26 23:59:59.999,506683169.58735000,1691253,394958.02100000,245607153.06301000,0
2024-11-27,613.5,646.75,607.79,644.14,629623.885,2024-11-27 23:59:59.999,395138256.51757000,1463772,315840.02800000,198260274.58520000,0
2024-11-28,644.15,664.68,639.79,653.83,684789.628,2024-11-28 23:59:59.999,447310382.25311000,1584912,325572.21300000,212721133.31880000,0
2024-11-29,653.84,663.8,648.42,654.67,429893.73,2024-11-29 23:59:59.999,281863687.62204000,1180985,204696.95500000,134234843.73461000,0
2024-11-30,654.67,677.2,648.0,653.43,545812.569,2024-11-30 23:59:59.999,360781212.65124000,1370197,263584.84100000,174291002.50955000,0
2024-12-01,653.44,664.17,645.16,655.99,434417.253,2024-12-01 23:59:59.999,284736496.31933000,1206704,195821.47200000,128387762.39500000,0
2024-12-02,656.0,667.2,627.99,647.82,771630.192,2024-12-02 23:59:59.999,496814257.59973000,1857659,363671.59900000,234274750.57894000,0
2024-12-03,647.83,750.01,622.85,734.64,1575647.798,2024-12-03 23:59:59.999,1065360654.90280100,2481338,813609.78990000,551323768.54200700,0
2024-12-04,734.64,793.86,720.0,739.53,2092976.428,2024-12-04 23:59:59.999,1585363383.63889780,3385203,1051263.01570000,796586187.56915180,0
2024-12-05,739.54,739.9,690.0,717.1,1159099.388,2024-12-05 23:59:59.999,833940195.14058000,2206192,583465.14700000,420106905.27894000,0
2024-12-06,717.1,745.93,705.06,730.22,747138.475,2024-12-06 23:59:59.999,543354617.64708000,1495972,355694.72700000,258817011.76313000,0
2024-12-07,730.22,761.0,729.69,749.72,445276.173,2024-12-07 23:59:59.999,332521641.55229000,1244934,224356.29300000,167564901.52504000,0
2024-12-08,749.71,757.26,727.47,742.0,343120.564,2024-12-08 23:59:59.999,254746861.56089000,1046084,164748.55600000,122380952.30374000,0
2024-12-09,742.0,742.5,642.0,689.19,1068109.724,2024-12-09 23:59:59.999,750478040.89311000,2260664,474036.51400000,333554568.83544000,0
2024-12-10,689.2,704.92,649.13,676.8,984801.75,2024-12-10 23:59:59.999,668829820.38149000,2146483,479352.54900000,325795018.51865000,0
2024-12-11,676.8,713.0,658.54,711.21,526819.302,2024-12-11 23:59:59.999,363578391.09084000,1217954,278015.74000000,191999589.39284000,0
2024-12-12,711.2,725.61,699.36,705.77,576876.965,2024-12-12 23:59:59.999,412636064.68138000,1423605,296442.69400000,212129080.62271000,0
2024-12-13,705.77,729.88,696.8,725.72,548598.294,2024-12-13 23:59:59.999,392046785.60903000,1149982,299496.89500000,214113892.33372000,0
2024-12-14,725.73,732.11,705.01,715.79,341929.145,2024-12-14 23:59:59.999,246341704.54359000,1010826,172172.59900000,124078459.28453000,0
2024-12-15,715.8,724.08,702.66,718.87,282457.795,2024-12-15 23:59:59.999,201977197.65233000,1024397,128732.12300000,92056168.28860000,0
2024-12-16,718.87,730.0,704.16,720.58,483844.553,2024-12-16 23:59:59.999,346826686.35011000,1382058,244520.14200000,175289935.07308000,0
2024-12-17,720.58,737.37,712.24,717.69,502868.872,2024-12-17 23:59:59.999,364062746.70020000,1442171,255819.81300000,185253993.06500000,0
2024-12-18,717.7,722.0,681.0,686.38,726576.022,2024-12-18 23:59:59.999,513577858.41071000,1405247,356090.64100000,251864338.68310000,0
2024-12-19,686.39,705.57,648.63,665.62,840266.48,2024-12-19 23:59:59.999,570986179.25140000,1697188,398098.96400000,270872593.92203000,0
2024-12-20,665.61,680.58,618.69,678.6,982349.406,2024-12-20 23:59:59.999,641954913.39672000,1975278,466892.49200000,305587748.98379000,0
2024-12-21,678.6,693.39,652.0,663.49,529437.789,2024-12-21 23:59:59.999,356262914.98044000,1047124,253611.57500000,170754688.10540000,0
2024-12-22,663.5,669.71,639.37,649.77,333704.376,2024-12-22 23:59:59.999,219106651.60070000,818883,164511.43600000,108044083.47998000,0
2024-12-23,649.77,698.5,638.1,694.16,606364.091,2024-12-23 23:59:59.999,407676502.73876000,1250928,302806.23300000,203690336.82751000,0
2024-12-24,694.16,699.0,682.68,696.9,386936.217,2024-12-24 23:59:59.999,267684126.68790000,801176,190475.37700000,131820617.59587000,0
2024-12-25,696.89,713.28,695.94,702.72,232510.25,2024-12-25 23:59:59.999,163663370.11294000,619252,118137.78900000,83167971.71496000,0
2024-12-26,702.71,719.99,683.0,689.4,381100.002,2024-12-26 23:59:59.999,266171547.70220000,983804,182600.07900000,127585679.34142000,0
2024-12-27,689.4,718.88,685.73,691.85,347156.043,2024-12-27 23:59:59.999,241387898.60907000,994784,165844.93800000,115403423.51757000,0
2024-12-28,691.86,731.24,691.3,722.13,344251.861,2024-12-28 23:59:59.999,246552528.75129000,873546,188079.92000000,134796278.57620000,0
2024-12-29,722.13,724.7,690.0,694.71,241528.144,2024-12-29 23:59:59.999,170580495.58564000,611981,120436.01200000,85026437.36164000,0
2024-12-30,694.71,712.2,687.75,705.36,297267.103,2024-12-30 23:59:59.999,207719498.60121000,862172,147887.07700000,103363994.49342000,0
2024-12-31,705.35,714.99,698.48,702.3,235464.832,2024-12-31 23:59:59.999,166146690.59762000,685689,116968.61000000,82555416.37537000,0
2025-01-01,702.31,711.5,700.3,707.84,135703.339,2025-01-01 23:59:59.999,95912659.04516000,450993,71288.59600000,50393053.58082000,0
2025-01-02,707.84,715.8,698.04,706.25,292533.811,2025-01-02 23:59:59.999,206642127.74701000,715222,148984.46100000,105250999.91415000,0
2025-01-03,706.24,715.69,697.03,714.88,291701.675,2025-01-03 23:59:59.999,206214578.80261000,703090,159091.00600000,112481688.30507000,0
2025-01-04,714.87,721.84,707.82,713.41,167274.262,2025-01-04 23:59:59.999,119663318.91078000,477042,86559.12800000,61934765.70646000,0
2025-01-05,713.41,713.93,702.51,709.29,115144.345,2025-01-05 23:59:59.999,81589551.09740000,357365,58981.29800000,41793844.90639000,0
2025-01-06,709.29,745.29,705.91,729.42,357347.859,2025-01-06 23:59:59.999,259202689.33863000,797928,184530.50600000,133801847.42062000,0
2025-01-07,729.42,733.33,691.2,698.01,436096.682,2025-01-07 23:59:59.999,311205654.41287000,1160929,209418.60400000,149719600.52280000,0
2025-01-08,698.0,707.46,674.72,696.03,427277.957,2025-01-08 23:59:59.999,295988402.30722000,1190705,207307.09000000,143686573.49684000,0
2025-01-09,696.03,701.72,675.12,685.48,331906.578,2025-01-09 23:59:59.999,229395154.56301000,939316,162954.00400000,112702855.91574000,0
2025-01-10,685.47,700.69,683.18,693.21,234590.487,2025-01-10 23:59:59.999,162476464.70200000,738587,126493.74600000,87614375.51518000,0
2025-01-11,693.21,701.47,690.39,696.7,87734.79,2025-01-11 23:59:59.999,61027521.95983000,334776,47204.38100000,32838208.15294000,0
2025-01-12,696.71,698.63,689.8,693.34,78211.295,2025-01-12 23:59:59.999,54271115.40096000,300207,40615.25800000,28184055.63100000,0
2025-01-13,693.35,700.0,660.0,688.64,386629.943,2025-01-13 23:59:59.999,260749933.34469000,1119948,172285.45600000,116338970.72958000,0
2025-01-14,688.64,699.97,686.3,698.89,159723.609,2025-01-14 23:59:59.999,110907862.84401000,486074,87445.14100000,60736371.70723000,0
2025-01-15,698.89,715.0,688.45,714.59,282718.752,2025-01-15 23:59:59.999,198505959.43022000,792835,154387.94000000,108432389.39035000,0
2025-01-16,714.59,717.5,700.5,708.1,268104.726,2025-01-16 23:59:59.999,190449199.40963000,799246,139424.47500000,99040945.60188000,0
2025-01-17,708.1,729.97,708.1,721.76,289751.278,2025-01-17 23:59:59.999,208863892.21405000,802129,151672.49900000,109373336.98918000,0
2025-01-18,721.76,723.32,695.0,709.52,370480.456,2025-01-18 23:59:59.999,261042036.22393000,837865,176895.96000000,124655335.76936000,0
2025-01-19,709.52,714.6,676.0,683.19,712985.298,2025-01-19 23:59:59.999,494826558.77689000,1623738,336374.46500000,233420915.57247000,0
2025-01-20,683.2,709.38,671.0,682.51,668236.487,2025-01-20 23:59:59.999,460253770.23451000,2049759,335402.82100000,231130283.09146000,0
2025-01-21,682.51,697.0,675.01,692.21,294203.471,2025-01-21 23:59:59.999,201877994.17057000,1220430,151859.77100000,104214564.66133000,0
2025-01-22,692.21,704.13,689.93,695.52,218410.233,2025-01-22 23:59:59.999,152163801.08273000,778968,110909.47200000,77263294.85262000,0
2025-01-23,695.52,697.65,680.26,689.74,331191.456,2025-01-23 23:59:59.999,227449444.31795000,1136767,172713.45700000,118625872.17482000,0
2025-01-24,689.73,691.31,678.75,680.45,280584.305,2025-01-24 23:59:59.999,192311060.58876000,722265,140230.18000000,96140355.31464000,0
2025-01-25,680.45,689.56,677.68,686.4,140203.276,2025-01-25 23:59:59.999,96002980.74890000,398257,75622.00700000,51781308.20444000,0
2025-01-26,686.4,690.82,664.64,667.37,195887.168,2025-01-26 23:59:59.999,133335964.38517000,468081,88543.09800000,60403895.56732000,0
2025-01-27,667.36,680.53,637.79,679.74,486667.795,2025-01-27 23:59:59.999,319943135.41218000,1736427,226266.42900000,149018305.19618000,0
2025-01-28,679.75,682.88,659.4,661.29,202591.474,2025-01-28 23:59:59.999,136320412.20259000,698982,89814.28000000,60466034.76642000,0
2025-01-29,661.28,680.01,659.37,667.97,255536.138,2025-01-29 23:59:59.999,171429451.13217000,829325,114764.85400000,76940439.04410000,0
2025-01-30,667.97,682.99,666.0,677.53,145419.421,2025-01-30 23:59:59.999,98572665.66848000,458024,76496.60000000,51850998.53154000,0
2025-01-31,677.53,689.44,673.5,677.47,190707.861,2025-01-31 23:59:59.999,129837529.78904000,578966,99029.15900000,67426140.07513000,0
2025-02-01,677.48,681.56,650.73,652.94,177371.372,2025-02-01 23:59:59.999,118479169.50354000,572608,86308.99700000,57699722.53868000,0
2025-02-02,652.94,663.22,600.0,617.8,506728.603,2025-02-02 23:59:59.999,319686544.33016000,2193785,229809.49000000,145092458.96521000,0
2025-02-03,617.8,619.19,500.0,617.21,1340856.885,2025-02-03 23:59:59.999,761429704.70862000,4325820,636341.47300000,361857690.74544000,0
2025-02-04,617.21,619.24,557.88,572.69,549571.473,2025-02-04 23:59:59.999,320290589.18650000,1769343,269099.03100000,156835668.31843000,0
2025-02-05,572.69,580.0,561.22,569.55,227055.225,2025-02-05 23:59:59.999,129716884.83023000,925294,113084.94900000,64633093.80792000,0
2025-02-06,569.55,589.99,568.87,571.72,334342.953,2025-02-06 23:59:59.999,193969742.34818000,1102386,169914.16500000,98604723.94882000,0
2025-02-07,571.71,589.9,570.58,577.71,222673.88,2025-02-07 23:59:59.999,129451341.96099000,857222,110350.64600000,64202024.93827000,0
2025-02-08,577.7,633.73,573.62,612.39,490805.546,2025-02-08 23:59:59.999,297489199.61406000,1061209,252755.30800000,153206110.80392000,0
2025-02-09,612.39,648.13,602.4,615.81,774091.071,2025-02-09 23:59:59.999,486494461.58509000,1655609,387923.38700000,243583255.93883000,0
2025-02-10,615.81,622.42,596.24,618.65,360129.038,2025-02-10 23:59:59.999,218954195.88323000,1383830,181866.32600000,110643924.08079000,0
2025-02-11,618.65,646.94,615.08,642.11,488539.291,2025-02-11 23:59:59.999,310084181.73871000,1641560,257131.66400000,163284133.28169000,0
2025-02-12,642.12,705.48,626.88,696.93,822216.623,2025-02-12 23:59:59.999,547344272.16887000,2332162,457236.55100000,305075608.56680000,0
2025-02-13,696.92,732.0,658.28,664.72,1766921.695,2025-02-13 23:59:59.999,1235503153.47365000,4414763,913886.03900000,639994821.09695000,0
2025-02-14,664.73,684.86,652.0,659.71,650460.875,2025-02-14 23:59:59.999,435455485.36749000,1781548,330709.76200000,221466576.10648000,0
2025-02-15,659.72,671.43,653.46,662.21,255950.897,2025-02-15 23:59:59.999,169188074.94996000,994231,126083.90400000,83327781.69396000,0
2025-02-16,662.21,686.04,653.11,673.1,362205.963,2025-02-16 23:59:59.999,242885041.45402000,1291598,181474.26400000,121707666.57568000,0
2025-02-17,673.1,682.29,657.99,667.51,323350.276,2025-02-17 23:59:59.999,217073600.40769000,1237030,165338.55300000,111023518.19536000,0
2025-02-18,667.52,668.3,629.65,648.18,366356.988,2025-02-18 23:59:59.999,237605531.27277000,1391692,177257.30900000,115012941.00804000,0
2025-02-19,648.19,664.44,636.99,653.38,352798.243,2025-02-19 23:59:59.999,230093608.31893000,1191211,193133.81900000,125969321.17783000,0
2025-02-20,653.38,659.03,645.88,656.36,215894.368,2025-02-20 23:59:59.999,140683645.98812000,881876,106050.77300000,69114738.66123000,0
2025-02-21,656.36,668.5,635.0,647.47,317327.155,2025-02-21 23:59:59.999,207737127.35011000,1188753,147783.35700000,96718918.23002000,0
2025-02-22,647.47,679.9,645.21,668.57,297923.184,2025-02-22 23:59:59.999,197901565.80744000,943929,155840.86900000,103524783.65619000,0
2025-02-23,668.57,671.1,648.49,658.42,166658.013,2025-02-23 23:59:59.999,110014935.59318000,575895,84848.02600000,56019771.32977000,0
2025-02-24,658.41,659.56,610.6,614.2,360147.153,2025-02-24 23:59:59.999,228275603.70987000,1455350,166933.09400000,105832570.00856000,0
2025-02-25,614.19,628.7,586.0,623.49,647434.612,2025-02-25 23:59:59.999,393335861.56722000,2577232,318885.08900000,193882659.92564000,0
2025-02-26,623.49,632.14,594.07,611.57,428035.431,2025-02-26 23:59:59.999,263292239.55094000,1692118,219184.86200000,134818476.50110000,0
2025-02-27,611.57,619.77,595.84,605.41,295518.116,2025-02-27 23:59:59.999,180214548.10665000,1226636,148033.75300000,90303218.43496000,0
2025-02-28,605.41,606.33,559.71,588.07,600999.319,2025-02-28 23:59:59.999,348100030.61127000,2432030,290649.36000000,168356328.27580000,0
2025-03-01,588.07,609.48,586.4,607.93,292254.356,2025-03-01 23:59:59.999,174627265.35593000,907408,138923.86500000,83069359.86372000,0
2025-03-02,607.94,635.01,601.5,623.94,469069.23,2025-03-02 23:59:59.999,290922261.43101000,1562454,245101.10000000,152067918.41563000,0
2025-03-03,623.94,624.36,567.5,576.1,497949.879,2025-03-03 23:59:59.999,296931073.33352000,1973288,241553.66600000,144072117.41662000,0
2025-03-04,576.09,588.75,546.83,584.01,488869.851,2025-03-04 23:59:59.999,277254366.05704000,2272449,239364.91600000,135969624.60744000,0
2025-03-05,584.01,606.06,580.57,598.24,206205.988,2025-03-05 23:59:59.999,122536170.87545000,1100570,109983.89800000,65363592.43801000,0
2025-03-06,598.25,612.9,589.2,596.5,223701.39,2025-03-06 23:59:59.999,134753375.22754000,988783,115838.98600000,69810960.69956000,0
2025-03-07,596.49,610.2,577.23,594.77,289363.933,2025-03-07 23:59:59.999,172750428.92419000,1444209,139088.37700000,83079063.06782000,0
2025-03-08,594.77,602.77,590.11,593.1,117220.631,2025-03-08 23:59:59.999,69991200.96482000,584699,61572.32600000,36775210.39153000,0
2025-03-09,593.1,593.1,550.2,554.65,246382.904,2025-03-09 23:59:59.999,140015234.56134000,1116177,114473.66400000,65068828.59632000,0
2025-03-10,554.65,573.4,523.01,531.49,410154.62,2025-03-10 23:59:59.999,225187261.71934000,1870843,180204.62800000,99065035.02858000,0
2025-03-11,531.49,566.0,507.0,551.61,691870.521,2025-03-11 23:59:59.999,377448189.68830000,2542958,356080.30600000,194509409.31414000,0
2025-03-12,551.61,574.95,544.63,569.87,367224.211,2025-03-12 23:59:59.999,205368085.28517000,1256293,193847.46800000,108461303.66392000,0
2025-03-13,569.87,613.71,567.99,579.8,647497.028,2025-03-13 23:59:59.999,379822302.22007000,1747273,334188.04600000,196105919.06673000,0
2025-03-14,579.8,589.81,576.61,587.76,213012.082,2025-03-14 23:59:59.999,124194131.58567000,762657,119668.70400000,69802426.57050000,0
2025-03-15,587.76,619.96,587.49,619.83,254324.009,2025-03-15 23:59:59.999,153638521.26638000,782849,145822.96900000,88061716.82361000,0
2025-03-16,619.82,622.8,593.06,602.2,255774.316,2025-03-16 23:59:59.999,154620391.15023000,894863,128315.11600000,77571862.18962000,0
2025-03-17,602.21,643.72,602.04,637.66,360304.361,2025-03-17 23:59:59.999,226618681.24379000,818132,197606.56100000,124199280.92737000,0
